Line Number	Token Number	Token Types		 Lexeme

     1		      0		 Identifier		 include
     1		      1		 Identifier		  stdio
     1		      2		 Identifier		      h
     3		      3		 Keyword		         int
     3		      4		 Identifier		   main
     3		      5		 Keyword		        void
     3		      6		 Special Symbol	      {
     5		      7		 Keyword		         int
     5		      8		 Identifier		   num1
     5		      9		 Identifier		   num2
     5		     10		 Identifier		    sum
     5		     11		 Digit		           0
     5		     12		 Special Symbol	      ;
     7		     13		 Identifier		 printf
     7		     14		 Identifier		  Enter
     7		     15		 Identifier		    two
     7		     16		 Identifier		 numbers
     7		     17		 Special Symbol	      )
     7		     18		 Special Symbol	      ;
     8		     19		 Identifier		  scanf
     8		     20		 Special Symbol	      %
     8		     21		 Identifier		      d
     8		     22		 Special Symbol	      %
     8		     23		 Identifier		      d
     8		     24		 Identifier		   num1
     8		     25		 Identifier		   num2
     8		     26		 Special Symbol	      ;
    10		     27		 Identifier		    sum
    10		     28		 Identifier		   num1
    10		     29		 Operator		           +
    10		     30		 Identifier		   num2
    11		     31		 Identifier		 printf
    11		     32		 Special Symbol	      %
    11		     33		 Identifier		      d
    11		     34		 Operator		           +
    11		     35		 Special Symbol	      %
    11		     36		 Identifier		      d
    11		     37		 Special Symbol	      %
    11		     38		 Identifier		      d
    11		     39		 Identifier		   num1
    11		     40		 Identifier		   num2
    11		     41		 Identifier		    sum
    11		     42		 Special Symbol	      ;
    12		     43		 Keyword		      return
    12		     44		 Digit		           0
    12		     45		 Special Symbol	      ;
    13		     46		 Special Symbol	      }
